generate,song,composer,performer,transcriber,url,screenshot_time_interval,start_seconds,end_seconds,crop_dimensions_left,crop_dimensions_top,crop_dimensions_right,crop_dimensions_bottom,n_images
FALSE,Aint Misbehaving,Fats Waller,Fats Waller,Jeremy Floury,https://www.youtube.com/watch?v=lakid_bpW9c,2,8,0,0,0,1,1,
FALSE,Cant Take my Eyes of You,"Bob Crewe, Bob Gaudio",Pierre-Yves Plat,Timothy Gondola,https://www.youtube.com/watch?v=9hz_5Bg4Fko,2,11,1,0,0,1,1,
FALSE,For Once in my Life,Stevie Wonder,Pierre-Yves Plat,Timothy Gondola,https://www.youtube.com/watch?v=dnThOgHTCLM,2,11,0,0,0,1,1,
FALSE,Life on Mars,David Bowie,Brad Mehldau,Brad Mehldau,https://www.youtube.com/watch?v=4PNhpFPc64E,2,11,0,0,0,1,1,
FALSE,Georgia on my Mind,Ray Charles,Bobby Floyd,George Collier,https://www.youtube.com/watch?v=cFeSC1Hrgi0,2,0,0,0,0.7,1,1,
FALSE,Goodbye Pork Pie Hat (Solo beginning),Charles Mingus,Charles Mingus,Christina Sochor,https://www.youtube.com/watch?v=eVunb7z266Y,2,0,0,0,0,1,1,
FALSE,Home (Trio in Tokyo),Michel Petrucciani,Michel Petrucciani,Soojin Andrew,https://www.youtube.com/watch?v=H63mAoi32wY,2,0,0,0,0,1,1,
FALSE,Just the Two of Us,Bill Withers,LotusFlower,TranscriptionsByPaul,https://www.youtube.com/watch?v=ah2oFP8cgOA,2,0,0,0,0,1,1,
FALSE,Maman la plus bell du monde,Pierre-Yves Plat,Pierre-Yves Plat,Jeremy Floury,https://www.youtube.com/watch?v=As8McR7Yxdo,2,0,0,0,0.19,1,0.81,
FALSE,Mia & Sebastians Theme (La La Land),Justin Hurwitz,Ryan Gosling,Soojin Andrew,https://www.youtube.com/watch?v=O49LRvGzXKU,2,7,0,0,0,1,1,
FALSE,Misty,Erroll Garner,Beegie Adair,Jeremy Floury,https://www.youtube.com/watch?v=TibPnIbUTQg,2,0,0,0,0,1,1,
FALSE,NaaNaaNaa,Cory Henry,Cory Henry,Timothy Gondola,https://www.youtube.com/watch?v=sFquk6BZD2A,2,11,0,0,0,1,1,
FALSE,Over the Rainbow,Harold Arlen,Keith Jarret,George Collier,https://www.youtube.com/watch?v=J1tkMPdd1VY,2,0,0,0,0.7,1,1,
FALSE,Seeker,Hiromi,Hiromi,Cornelius Tsen,https://www.youtube.com/watch?v=zjwQ0APSTYg,2,3,7,0,0,1,1,
FALSE,Seeker,Hiromi,Hiromi,Transcribe a Song,https://www.youtube.com/watch?v=E0UI8GVnMSU,2,7,1,0.13,0.7,0.87,1,
FALSE,Sunny,Bobby Hebb,Pierre-Yves Plat,Timothy Gondola,https://www.youtube.com/watch?v=FkVSQYgU1J4,2,11,0,0,0,1,1,
FALSE,Just the Two of Us (Pan Solo),Bill Withers,Robert Greenidge,Colin Beasley Dulcimer Gumbo,https://www.youtube.com/watch?v=RLbHsWGfjOY,2,0,0,0,0,1,1,
FALSE,"Brazilian Like (Live in Frankfurt, 1997)",Michel Petrucciani,Michel Petrucciani,Jeremy Floury,https://www.youtube.com/watch?v=DYtci5zN31o,2,0,0,0,0,1,1,
FALSE,"Brazilian Like (Live in Stuttgart, 1998)",Michel Petrucciani,Michel Petrucciani,Jeremy Floury,https://www.youtube.com/watch?v=F9lynbmZP8A,2,0,0,0,0.645,1,1,
FALSE,Michel Petrucciani - In a Sentimental Mood - Piano solo transcription,Michel Petrucciani,,Jeremy Floury,https://www.youtube.com/watch?v=amwv5yjeP_w,2,0,0,0,0,1,1,
FALSE,Once Upon A Time - Beegie Adair piano solo transcription,Beegie Adair,,Jeremy Floury,https://www.youtube.com/watch?v=rHpQAjF2TCw,2,0,0,0,0,1,1,
FALSE,"Caravan (Live in Frankfurt, 1997)",J. Tizol & Duke Ellington,Michel Petrucciani,Jeremy Floury,https://www.youtube.com/watch?v=fsyJIgdk94c,2,0,0,0,0,1,1,
FALSE,Prelude in Cm - Jazz piano transcription,,,Jeremy Floury,https://www.youtube.com/watch?v=iUPkXjsUHoY,2,0,0,0,0,1,1,
